order_id,merchant_id,account_age_days,past_orders,return_rate_hist,refund_to_keep_count,bracketing_score,claim_text_susp,image_ai_artifact_score,weight_mismatch_kg,shared_identifier_flag,carrier_scan_gap,days_to_claim,order_value,category,is_abuse
ORD100024,M003,677,6,0.143,0,0.294,0.395,0.063,0.006,0,0,7.2,1381.42,apparel,0
ORD100025,M003,1138,9,0.379,0,0.123,0.073,0.178,0.051,0,0,8.85,1423.07,apparel,0
ORD100026,M002,787,4,0.326,0,0.297,0.506,0.364,0.234,0,0,7.79,1487.45,electronics,0
ORD100027,M002,1722,5,0.745,1,0.827,0.473,0.416,0.469,0,0,2.52,1226.86,footwear,1
ORD100028,M003,983,6,0.311,0,0.727,0.127,0.287,0.045,0,0,5.44,1334.48,apparel,0
ORD100029,M001,376,8,0.483,3,0.106,0.075,0.256,0.216,0,0,0.09,1927.58,home,0
ORD100030,M003,186,8,0.258,0,0.071,0.123,0.186,0.027,0,0,0.86,556.76,home,0
ORD100031,M001,448,8,0.295,0,0.275,0.474,0.123,0.096,0,0,4.53,5297.74,electronics,0
ORD100032,M001,540,3,0.341,0,0.397,0.028,0.272,0.504,0,1,1.04,291.05,apparel,0
ORD100033,M001,868,7,0.316,0,0.185,0.205,0.173,0.068,0,0,6.29,757.58,apparel,0
ORD100034,M001,247,5,0.021,1,0.352,0.135,0.092,0.092,0,0,1.88,3720.39,footwear,0
ORD100035,M001,92,12,0.429,0,0.227,0.287,0.396,0.0,1,0,8.46,3480.37,home,1
ORD100036,M002,6,13,0.364,0,0.358,0.013,0.116,0.002,0,0,7.73,855.25,electronics,0
ORD100037,M001,62,5,0.563,0,0.638,0.601,0.824,0.494,1,0,14.48,2386.28,home,1
ORD100038,M001,541,7,0.083,2,0.063,0.17,0.199,0.026,0,0,22.55,867.79,apparel,0
ORD100039,M002,149,6,0.184,0,0.186,0.529,0.366,0.081,0,0,9.9,2590.33,apparel,0
ORD100040,M003,1367,8,0.327,0,0.204,0.136,0.183,0.086,0,0,4.66,676.54,electronics,0
ORD100041,M001,689,8,0.195,1,0.317,0.354,0.168,0.058,0,0,12.77,812.66,electronics,0
ORD100042,M003,91,6,0.047,0,0.383,0.245,0.657,0.035,0,0,21.37,621.7,home,0
ORD100043,M001,1074,9,0.111,1,0.129,0.256,0.179,0.034,0,0,2.89,1325.64,home,0
ORD100044,M003,442,5,0.868,0,0.696,0.266,0.665,0.044,0,0,1.39,2011.15,home,1
ORD100045,M001,360,7,0.175,0,0.663,0.435,0.226,0.13,0,0,1.9,2003.08,home,0
ORD100046,M001,143,13,0.699,2,0.491,0.413,0.285,0.172,1,0,5.83,3578.63,apparel,1
ORD100047,M001,12,9,0.415,1,0.284,0.127,0.122,0.282,0,0,2.43,459.11,apparel,0
ORD100048,M001,788,10,0.653,0,0.354,0.644,0.489,0.219,0,0,2.13,8218.27,footwear,1
ORD100049,M001,1398,5,0.188,0,0.509,0.174,0.33,0.062,0,0,0.97,355.43,apparel,0
ORD100050,M001,256,5,0.398,0,0.357,0.034,0.204,0.125,0,0,5.86,2243.17,home,0
ORD100051,M001,1259,12,0.47,0,0.333,0.177,0.309,0.012,0,0,6.1,3038.99,home,0
ORD100052,M001,206,9,0.416,1,0.073,0.043,0.104,0.052,0,0,6.91,3155.95,beauty,0
ORD100053,M001,1924,7,0.537,0,0.057,0.553,0.081,0.042,0,0,1.82,1304.22,home,0
ORD100054,M001,614,7,0.541,1,0.235,0.21,0.167,0.037,0,0,2.1,1456.44,footwear,0
ORD100055,M001,110,5,0.275,0,0.142,0.27,0.317,0.002,0,0,2.44,3288.35,apparel,0
ORD100056,M002,132,7,0.16,1,0.464,0.014,0.188,0.041,0,0,22.8,2802.06,apparel,0
ORD100057,M001,112,7,0.656,1,0.351,0.313,0.316,0.006,0,0,2.16,846.48,apparel,1
ORD100058,M001,361,3,0.242,0,0.176,0.255,0.327,0.043,1,0,6.24,579.5,apparel,0
ORD100059,M002,18,9,0.173,0,0.138,0.536,0.136,0.048,0,0,2.24,753.26,apparel,0
ORD100060,M003,57,8,0.449,1,0.418,0.203,0.168,0.084,0,1,2.83,1615.73,apparel,0
ORD100061,M002,1109,5,0.138,0,0.383,0.178,0.163,0.066,0,0,1.19,669.72,apparel,0
ORD100062,M001,1093,11,0.077,0,0.385,0.594,0.472,0.001,0,0,3.28,199.33,electronics,0
ORD100063,M001,165,7,0.624,0,0.089,0.001,0.033,0.012,0,0,13.16,2912.61,apparel,0
ORD100064,M001,539,6,0.898,1,0.58,0.394,0.573,0.03,0,0,1.38,1352.04,electronics,1
ORD100065,M003,106,5,0.086,1,0.783,0.382,0.377,0.124,0,0,3.49,1735.75,apparel,0
ORD100066,M002,277,6,0.431,0,0.191,0.274,0.047,0.066,0,0,5.62,2356.13,apparel,0
ORD100067,M001,197,10,0.092,0,0.324,0.493,0.531,0.08,0,0,1.28,844.31,electronics,0
ORD100068,M001,250,8,0.399,0,0.685,0.65,0.599,0.208,0,1,2.08,468.47,apparel,1
ORD100069,M002,191,13,0.521,0,0.199,0.308,0.064,0.062,0,0,0.08,3001.7,apparel,0
ORD100070,M001,334,5,0.477,1,0.031,0.545,0.36,0.009,0,0,8.11,1164.47,apparel,0
ORD100071,M002,208,8,0.516,2,0.653,0.416,0.314,0.002,0,0,0.73,4353.48,home,0
ORD100072,M001,144,15,0.493,0,0.064,0.157,0.08,0.052,0,0,3.45,778.07,electronics,0
ORD100073,M001,128,9,0.305,2,0.501,0.17,0.118,0.051,0,0,3.02,1525.4,home,0
ORD100074,M001,1463,9,0.31,0,0.235,0.688,0.313,0.037,0,0,0.69,290.67,home,0
ORD100075,M003,1220,8,0.482,1,0.209,0.099,0.353,0.028,0,0,15.22,649.47,electronics,0
ORD100076,M002,1225,11,0.12,0,0.668,0.364,0.205,0.016,0,0,1.57,868.18,home,1
ORD100077,M001,329,9,0.191,0,0.346,0.099,0.088,0.043,0,0,0.41,1088.23,apparel,0
ORD100078,M002,1881,3,0.122,0,0.477,0.542,0.322,0.084,0,0,11.29,2935.22,apparel,0
ORD100079,M001,117,10,0.138,0,0.505,0.336,0.197,0.002,0,0,1.58,778.98,apparel,0
ORD100080,M002,357,9,0.635,0,0.682,0.229,0.788,0.151,0,1,6.73,513.22,footwear,1
ORD100081,M003,504,5,0.398,1,0.396,0.149,0.721,0.012,0,0,1.19,1365.89,apparel,0
ORD100082,M003,159,8,0.139,1,0.365,0.155,0.267,0.085,0,0,1.74,822.15,apparel,0
ORD100083,M001,356,9,0.569,0,0.819,0.797,0.245,0.033,1,0,2.21,2950.7,apparel,1
ORD100084,M001,376,8,0.346,1,0.338,0.324,0.226,0.034,0,0,0.36,2727.62,electronics,0
ORD100085,M001,356,6,0.245,1,0.168,0.563,0.408,0.109,0,0,1.46,881.89,beauty,0
ORD100086,M002,278,6,0.173,1,0.139,0.24,0.083,0.06,0,0,1.5,692.77,footwear,1
ORD100087,M001,417,9,0.302,0,0.394,0.127,0.289,0.033,0,0,0.15,823.37,electronics,0
ORD100088,M001,33,8,0.106,2,0.056,0.473,0.456,0.011,0,0,1.02,1435.12,beauty,0
ORD100089,M001,192,9,0.395,0,0.294,0.038,0.625,0.002,0,0,3.25,474.18,apparel,0
ORD100090,M001,284,7,0.613,1,0.236,0.818,0.489,0.036,0,0,0.96,4863.57,home,1
ORD100091,M001,158,7,0.74,1,0.536,0.259,0.49,0.008,0,0,3.95,1512.07,beauty,1
ORD100092,M001,66,12,0.143,0,0.23,0.402,0.428,0.016,0,1,0.48,364.15,home,0
ORD100093,M003,956,9,0.294,0,0.643,0.209,0.182,0.373,0,0,0.0,2208.72,home,1
ORD100094,M002,2,6,0.142,0,0.105,0.247,0.258,0.036,0,0,4.99,1987.72,electronics,0
ORD100095,M001,898,9,0.645,2,0.786,0.309,0.194,0.025,0,1,2.33,2930.34,apparel,1
ORD100096,M001,34,10,0.048,2,0.05,0.224,0.442,0.072,0,0,0.77,1656.43,home,0
ORD100097,M001,267,9,0.364,1,0.318,0.14,0.289,0.154,1,0,3.25,4696.46,footwear,0
ORD100098,M003,232,10,0.299,0,0.628,0.1,0.38,0.101,0,1,2.27,1169.23,apparel,0
ORD100099,M001,68,4,0.517,1,0.045,0.123,0.303,0.012,0,0,0.64,951.42,electronics,0
ORD100100,M003,68,6,0.338,0,0.204,0.449,0.239,0.174,0,0,7.57,3574.4,home,0
ORD100101,M001,119,16,0.404,0,0.186,0.214,0.441,0.048,0,0,0.78,2108.51,beauty,0
ORD100102,M001,67,13,0.709,1,0.703,0.41,0.329,0.228,0,0,1.27,716.64,apparel,0
ORD100103,M002,199,9,0.437,2,0.536,0.436,0.925,0.095,0,1,13.18,2455.83,footwear,1
ORD100104,M001,1384,8,0.41,1,0.079,0.104,0.089,0.015,0,0,3.14,5569.06,apparel,1
ORD100105,M002,255,9,0.182,0,0.272,0.22,0.176,0.033,0,0,8.69,1131.64,apparel,0
ORD100106,M002,451,9,0.392,0,0.845,0.701,0.153,0.014,0,0,6.46,506.88,beauty,0
ORD100107,M003,613,7,0.252,0,0.333,0.624,0.311,0.073,0,0,0.21,372.86,beauty,1
ORD100108,M001,470,3,0.171,1,0.556,0.027,0.233,0.063,0,0,2.74,429.49,apparel,0
ORD100109,M002,463,12,0.337,1,0.181,0.319,0.094,0.038,0,0,3.75,580.84,apparel,0
ORD100110,M001,33,7,0.695,1,0.726,0.365,0.365,0.046,0,0,1.97,4204.16,beauty,1
ORD100111,M001,1060,12,0.157,2,0.37,0.316,0.238,0.005,0,0,2.95,1173.55,electronics,0
ORD100112,M002,48,5,0.178,0,0.403,0.353,0.231,0.137,0,0,5.47,911.66,home,0
ORD100113,M001,399,9,0.144,0,0.442,0.152,0.237,0.188,0,0,1.67,701.41,electronics,0
ORD100114,M001,322,6,0.667,1,0.74,0.786,0.456,0.171,0,0,5.29,1220.53,home,1
ORD100115,M002,554,5,0.522,2,0.129,0.392,0.181,0.005,0,0,2.58,1427.06,electronics,0
ORD100116,M003,440,6,0.207,0,0.061,0.215,0.16,0.139,0,0,3.54,1395.23,footwear,0
ORD100117,M003,169,7,0.465,1,0.434,0.226,0.164,0.146,0,0,2.32,1081.2,apparel,0
ORD100118,M002,1577,10,0.191,0,0.091,0.239,0.112,0.221,0,0,4.87,777.39,home,0
ORD100119,M001,694,7,0.288,0,0.142,0.018,0.281,0.007,0,0,4.48,1451.15,apparel,0
ORD100120,M001,18,10,0.238,0,0.334,0.11,0.195,0.005,0,0,3.16,6398.09,apparel,0
ORD100121,M001,675,8,0.803,0,0.106,0.252,0.337,0.004,0,0,5.99,1636.37,apparel,0
ORD100122,M002,454,7,0.174,0,0.249,0.191,0.407,0.017,0,0,2.27,1283.67,apparel,0
ORD100123,M002,61,4,0.377,1,0.13,0.266,0.14,0.045,0,0,1.18,3194.1,footwear,0
ORD100124,M002,784,6,0.171,1,0.277,0.148,0.172,0.019,0,0,14.62,239.39,footwear,0
ORD100125,M001,621,8,0.337,0,0.45,0.117,0.399,0.006,0,0,1.64,403.79,apparel,0
ORD100126,M002,123,8,0.432,1,0.179,0.396,0.503,0.192,1,1,0.27,1913.6,home,1
ORD100127,M002,338,11,0.203,0,0.122,0.179,0.32,0.083,0,0,2.95,1221.04,apparel,0
ORD100128,M002,625,11,0.377,1,0.784,0.333,0.392,0.096,0,1,6.41,1294.86,beauty,1
ORD100129,M001,305,6,0.21,0,0.3,0.301,0.134,0.058,1,0,2.61,2538.0,apparel,0
ORD100130,M002,117,7,0.421,0,0.354,0.289,0.222,0.042,0,0,8.02,3253.67,apparel,0
ORD100131,M002,143,3,0.183,0,0.209,0.108,0.233,0.058,0,1,0.93,1258.03,apparel,0
ORD100132,M001,193,9,0.139,0,0.487,0.261,0.007,0.144,0,0,11.88,1013.63,electronics,0
ORD100133,M002,720,8,0.416,0,0.215,0.283,0.565,0.019,0,0,4.65,203.16,home,0
ORD100134,M001,822,11,0.273,0,0.117,0.185,0.295,0.086,0,0,5.8,1110.16,electronics,0
ORD100135,M001,292,7,0.229,0,0.162,0.331,0.198,0.053,0,0,13.48,3440.84,electronics,0
ORD100136,M001,114,13,0.282,0,0.124,0.172,0.253,0.012,0,0,4.52,5351.56,home,0
ORD100137,M001,600,4,0.261,0,0.261,0.285,0.754,0.02,0,0,0.48,796.57,home,0
ORD100138,M001,256,12,0.144,0,0.252,0.295,0.31,0.095,0,0,2.4,1616.01,electronics,0
ORD100139,M003,861,6,0.27,0,0.2,0.193,0.25,0.009,1,0,8.19,722.75,beauty,0
ORD100140,M002,435,9,0.389,0,0.237,0.166,0.4,0.07,0,0,10.84,1072.91,apparel,0
ORD100141,M003,28,4,0.163,0,0.079,0.068,0.485,0.005,0,0,3.18,696.99,apparel,1
ORD100142,M001,333,7,0.173,0,0.164,0.436,0.36,0.019,0,0,2.07,1157.87,electronics,0
ORD100143,M001,526,16,0.63,0,0.055,0.321,0.129,0.192,0,1,2.35,1823.01,apparel,0
ORD100144,M001,211,7,0.574,0,0.443,0.112,0.154,0.07,0,0,7.24,3488.4,footwear,1
ORD100145,M001,1777,14,0.578,1,0.603,0.363,0.236,0.094,0,0,1.72,1621.86,apparel,1
ORD100146,M003,664,9,0.182,0,0.534,0.34,0.072,0.155,0,0,2.26,740.8,apparel,0
ORD100147,M002,274,10,0.363,1,0.035,0.155,0.456,0.035,0,0,1.25,573.57,apparel,0
ORD100148,M001,1108,5,0.245,0,0.694,0.591,0.405,0.029,0,0,4.33,1345.15,beauty,1
ORD100149,M001,81,6,0.304,1,0.869,0.146,0.148,0.047,0,0,9.81,3465.7,electronics,1
ORD100150,M003,2616,3,0.102,0,0.66,0.53,0.09,0.031,0,0,6.34,401.02,apparel,0
ORD100151,M001,2039,4,0.224,1,0.043,0.122,0.28,0.033,0,0,0.13,1197.44,beauty,0
ORD100152,M001,86,7,0.116,0,0.121,0.439,0.345,0.157,0,0,0.74,2388.95,apparel,0
ORD100153,M003,63,8,0.295,1,0.519,0.329,0.557,0.07,0,0,9.12,531.83,footwear,1
ORD100154,M002,1690,10,0.326,1,0.547,0.265,0.083,0.081,0,0,3.81,2201.64,footwear,0
ORD100155,M001,1434,6,0.241,2,0.381,0.197,0.403,0.066,0,0,4.12,1950.09,apparel,0
ORD100156,M001,459,7,0.442,1,0.365,0.149,0.196,0.008,0,0,3.57,5430.59,beauty,0
ORD100157,M001,130,13,0.175,0,0.213,0.33,0.142,0.011,0,0,9.48,604.89,home,0
ORD100158,M002,77,9,0.039,0,0.094,0.204,0.443,0.038,1,0,0.34,2534.67,apparel,0
ORD100159,M003,70,9,0.835,0,0.567,0.807,0.38,0.273,0,0,2.01,1732.69,apparel,0
ORD100160,M001,34,8,0.125,0,0.383,0.082,0.578,0.198,0,0,0.18,605.07,apparel,0
ORD100161,M002,599,8,0.373,0,0.298,0.247,0.168,0.054,0,0,0.76,870.47,footwear,0
ORD100162,M003,16,11,0.369,1,0.498,0.26,0.514,0.053,0,0,12.74,3865.28,home,0
ORD100163,M002,469,3,0.136,2,0.162,0.552,0.495,0.2,0,0,4.1,1926.82,apparel,0
ORD100164,M001,1299,8,0.332,2,0.386,0.745,0.176,0.013,0,0,5.71,528.98,home,0
ORD100165,M002,53,5,0.474,2,0.424,0.537,0.207,0.067,0,1,5.72,4541.64,electronics,1
ORD100166,M003,115,2,0.348,0,0.617,0.208,0.353,0.002,0,0,8.0,1283.47,apparel,0
ORD100167,M002,940,6,0.404,0,0.465,0.356,0.183,0.048,0,0,2.35,805.42,home,1
ORD100168,M002,504,8,0.301,1,0.528,0.507,0.268,0.143,0,0,3.79,2531.0,apparel,0
ORD100169,M002,240,8,0.377,1,0.369,0.461,0.482,0.404,1,0,0.54,1128.45,apparel,1
ORD100170,M001,668,3,0.467,0,0.072,0.317,0.29,0.098,0,0,4.69,1779.88,beauty,0
ORD100171,M001,1262,8,0.129,0,0.121,0.153,0.328,0.023,0,0,11.06,1628.51,apparel,0
ORD100172,M002,547,11,0.412,0,0.264,0.435,0.321,0.082,0,0,2.23,3043.79,footwear,0
ORD100173,M001,48,12,0.292,0,0.196,0.531,0.096,0.0,0,0,13.09,676.9,footwear,0
ORD100174,M001,1094,10,0.441,0,0.695,0.812,0.372,0.079,1,0,5.14,1421.4,apparel,1
ORD100175,M001,105,12,0.042,0,0.441,0.505,0.198,0.063,0,1,11.35,945.46,home,0
ORD100176,M003,9,9,0.501,1,0.346,0.386,0.249,0.044,0,0,0.1,881.16,apparel,0
ORD100177,M003,18,9,0.374,1,0.771,0.467,0.245,0.006,0,0,1.88,1365.48,footwear,0
ORD100178,M002,319,13,0.658,0,0.73,0.194,0.424,0.008,0,0,1.63,3609.55,apparel,1
ORD100179,M003,768,7,0.355,1,0.53,0.217,0.622,0.102,0,0,1.83,866.57,apparel,1
ORD100180,M001,1064,13,0.227,1,0.305,0.228,0.148,0.15,0,0,14.28,3140.77,electronics,0
ORD100181,M001,666,8,0.442,0,0.346,0.613,0.805,0.104,0,0,2.27,2213.92,electronics,1
ORD100182,M002,1097,7,0.074,0,0.172,0.151,0.261,0.013,0,0,13.09,5295.38,apparel,0
ORD100183,M001,1107,12,0.296,0,0.532,0.422,0.506,0.069,0,0,2.31,1005.82,footwear,0
ORD100184,M003,2005,8,0.28,0,0.525,0.346,0.228,0.04,0,0,9.13,2564.21,footwear,0
ORD100185,M002,278,7,0.108,0,0.27,0.325,0.181,0.037,0,0,11.13,4877.29,apparel,0
ORD100186,M002,479,9,0.092,0,0.27,0.163,0.153,0.062,0,0,3.77,718.71,home,1
ORD100187,M001,135,9,0.51,1,0.137,0.162,0.035,0.078,0,0,8.75,498.9,beauty,0
ORD100188,M001,423,9,0.221,0,0.215,0.339,0.221,0.016,0,0,10.56,1632.79,apparel,0
ORD100189,M001,348,15,0.342,0,0.468,0.221,0.434,0.044,0,0,0.01,5008.34,apparel,0
ORD100190,M001,97,10,0.39,0,0.201,0.241,0.347,0.188,0,0,2.21,1244.03,apparel,0
ORD100191,M002,2452,12,0.096,1,0.368,0.051,0.119,0.138,0,0,2.21,4242.3,footwear,0
ORD100192,M001,802,5,0.383,0,0.437,0.242,0.345,0.041,0,0,5.27,496.02,home,0
ORD100193,M001,921,14,0.551,0,0.188,0.195,0.089,0.073,0,0,2.57,1163.84,apparel,0
ORD100194,M001,175,11,0.481,0,0.25,0.149,0.371,0.014,0,0,0.31,2394.44,apparel,0
ORD100195,M001,468,8,0.206,1,0.259,0.532,0.164,0.012,0,0,10.29,769.34,apparel,1
ORD100196,M002,974,7,0.51,0,0.221,0.439,0.567,0.13,0,0,0.7,1529.6,electronics,0
ORD100197,M001,521,6,0.098,0,0.147,0.126,0.411,0.047,0,0,2.11,1637.93,footwear,0
ORD100198,M003,1018,7,0.298,1,0.293,0.253,0.311,0.077,0,0,4.67,616.93,electronics,0
ORD100199,M002,80,7,0.561,0,0.15,0.083,0.25,0.085,0,1,4.39,632.88,apparel,0
ORD100200,M002,28,7,0.412,0,0.071,0.177,0.145,0.007,0,0,5.49,956.99,apparel,0
ORD100201,M002,191,10,0.168,2,0.094,0.088,0.27,0.039,0,0,8.42,1527.07,apparel,0
ORD100202,M001,28,5,0.142,0,0.342,0.073,0.351,0.12,0,0,16.72,6491.94,apparel,0
ORD100203,M002,268,6,0.072,0,0.781,0.26,0.095,0.015,0,1,4.98,1939.71,apparel,0
ORD100204,M003,46,9,0.21,1,0.17,0.247,0.01,0.005,0,0,15.23,12626.71,beauty,0
ORD100205,M002,1897,13,0.496,0,0.338,0.571,0.461,0.051,0,1,10.96,3201.29,home,0
ORD100206,M001,1,9,0.407,1,0.442,0.516,0.262,0.006,0,0,2.25,1471.93,beauty,1
ORD100207,M001,543,11,0.196,0,0.259,0.188,0.082,0.098,0,0,2.81,162.29,footwear,0
ORD100208,M002,241,7,0.461,0,0.164,0.315,0.214,0.017,0,0,2.55,1525.65,home,0
ORD100209,M002,891,9,0.025,0,0.258,0.177,0.053,0.027,0,0,2.63,1472.53,apparel,0
ORD100210,M001,546,11,0.324,1,0.133,0.475,0.273,0.059,0,0,9.7,987.12,footwear,0
ORD100211,M003,781,7,0.33,1,0.084,0.197,0.197,0.083,0,0,1.09,2809.85,apparel,0
ORD100212,M003,62,5,0.26,0,0.35,0.258,0.373,0.013,0,0,1.35,2259.28,electronics,0
ORD100213,M002,87,11,0.685,1,0.641,0.325,0.559,0.152,0,0,3.35,2099.54,apparel,0
ORD100214,M001,197,6,0.53,1,0.868,0.228,0.693,0.145,0,0,2.13,1244.36,home,1
ORD100215,M002,335,8,0.52,1,0.755,0.358,0.56,0.159,0,0,3.83,1811.13,home,1
ORD100216,M003,105,6,0.285,0,0.278,0.508,0.547,0.107,0,1,30.86,733.31,apparel,0
ORD100217,M003,492,16,0.363,2,0.283,0.252,0.15,0.051,0,0,4.96,2202.26,apparel,0
ORD100218,M001,164,4,0.482,0,0.139,0.082,0.299,0.017,0,0,2.29,3269.27,footwear,0
ORD100219,M001,452,13,0.213,1,0.432,0.076,0.184,0.071,0,0,27.75,558.9,apparel,0
ORD100220,M001,78,10,0.337,0,0.351,0.22,0.646,0.208,0,0,8.75,3601.39,electronics,0
ORD100221,M001,1006,11,0.507,1,0.216,0.408,0.417,0.082,0,0,1.24,1482.97,footwear,1
ORD100222,M001,368,6,0.563,2,0.397,0.589,0.426,0.215,0,0,1.51,668.55,apparel,1
ORD100223,M001,167,7,0.247,2,0.375,0.093,0.134,0.02,0,0,12.53,1226.15,apparel,0
ORD100224,M001,145,7,0.319,0,0.529,0.068,0.087,0.005,0,0,3.48,1215.13,footwear,0
ORD100225,M003,38,10,0.607,1,0.747,0.376,0.635,0.232,0,0,0.32,2072.54,electronics,1
ORD100226,M002,447,11,0.293,1,0.189,0.201,0.126,0.007,0,0,3.27,5547.24,footwear,0
ORD100227,M003,959,2,0.264,0,0.188,0.084,0.231,0.147,0,0,1.45,1172.11,apparel,0
ORD100228,M002,254,14,0.295,0,0.106,0.34,0.437,0.283,0,0,1.52,1545.17,beauty,0
ORD100229,M001,6,10,0.483,1,0.937,0.555,0.476,0.016,0,0,10.72,8025.34,beauty,1
ORD100230,M003,92,5,0.143,0,0.146,0.453,0.31,0.253,0,0,7.44,1619.88,footwear,0
ORD100231,M001,296,5,0.479,1,0.359,0.182,0.497,0.049,0,0,1.29,536.48,footwear,0
ORD100232,M002,177,5,0.354,0,0.172,0.189,0.12,0.034,1,0,0.71,1427.28,electronics,0
ORD100233,M001,201,7,0.431,0,0.152,0.304,0.738,0.043,0,0,7.98,2174.92,beauty,1
ORD100234,M002,384,9,0.307,0,0.464,0.464,0.103,0.015,0,1,0.18,543.79,apparel,0
ORD100235,M002,1,2,0.173,1,0.362,0.148,0.235,0.126,0,0,1.46,844.89,apparel,1
ORD100236,M003,57,11,0.152,0,0.493,0.384,0.117,0.057,0,0,12.13,301.76,apparel,0
ORD100237,M003,955,13,0.272,0,0.27,0.112,0.091,0.049,0,0,1.73,79.57,home,0
ORD100238,M001,757,5,0.243,0,0.424,0.422,0.685,0.016,0,0,6.84,1236.33,beauty,0
ORD100239,M002,206,6,0.259,0,0.289,0.508,0.408,0.022,1,0,7.46,2337.14,home,1
ORD100240,M001,484,5,0.199,0,0.395,0.06,0.136,0.129,0,0,7.34,741.09,electronics,1
ORD100241,M001,186,9,0.127,1,0.089,0.324,0.2,0.02,1,0,6.78,6479.46,footwear,0
ORD100242,M003,213,8,0.408,0,0.643,0.087,0.214,0.068,0,0,2.46,450.1,footwear,0
ORD100243,M001,561,1,0.369,0,0.431,0.497,0.324,0.12,0,0,4.64,491.44,apparel,0
ORD100244,M002,660,8,0.168,0,0.508,0.046,0.427,0.007,0,0,15.11,879.85,apparel,0
ORD100245,M002,252,10,0.127,0,0.243,0.216,0.156,0.067,0,0,6.62,1161.38,electronics,0
ORD100246,M002,30,11,0.161,0,0.386,0.446,0.287,0.004,0,0,1.22,2727.32,apparel,0
ORD100247,M001,962,6,0.77,0,0.278,0.473,0.225,0.094,0,1,0.6,386.99,electronics,1
ORD100248,M003,56,12,0.295,0,0.281,0.4,0.393,0.231,0,0,0.85,535.53,beauty,1
ORD100249,M002,102,10,0.189,0,0.406,0.297,0.357,0.15,0,0,2.49,3592.4,apparel,0
ORD100250,M003,364,11,0.199,0,0.351,0.388,0.423,0.156,0,0,1.02,1067.97,apparel,0
ORD100251,M002,141,5,0.07,0,0.608,0.112,0.212,0.044,0,1,0.25,103.94,electronics,0
ORD100252,M002,883,5,0.365,0,0.408,0.435,0.33,0.014,0,0,11.08,1446.13,apparel,0
ORD100253,M002,822,9,0.398,1,0.317,0.192,0.417,0.191,0,0,11.68,1080.46,electronics,0
ORD100254,M001,836,9,0.079,0,0.151,0.542,0.065,0.03,0,0,5.53,723.04,home,0
ORD100255,M003,89,9,0.181,0,0.09,0.132,0.061,0.149,0,0,2.21,8793.18,electronics,0
ORD100256,M003,1190,10,0.094,0,0.44,0.228,0.047,0.193,0,0,3.73,1823.01,apparel,0
