order_id,account_age_days,past_orders,return_rate_hist,refund_to_keep_count,bracketing_score,claim_text_susp,image_ai_artifact_score,weight_mismatch_kg,shared_identifier_flag,carrier_scan_gap,days_to_claim,order_value,category,is_abuse
ORD100059,326,10,0.668,0,0.25,0.24,0.236,0.037,0,0,0.94,1813.23,apparel,0
ORD100060,36,7,0.589,1,0.128,0.045,0.41,0.005,0,0,0.34,874.03,beauty,0
ORD100061,22,6,0.465,1,0.354,0.356,0.263,0.009,0,0,20.11,701.14,electronics,0
ORD100062,588,7,0.34,0,0.04,0.176,0.053,0.091,0,1,6.43,1261.95,apparel,0
ORD100063,107,8,0.275,0,0.319,0.379,0.418,0.214,0,1,0.1,554.2,apparel,1
ORD100064,618,7,0.19,0,0.068,0.206,0.187,0.161,0,0,0.17,3674.82,footwear,0
ORD100065,317,5,0.489,1,0.382,0.371,0.061,0.172,1,0,1.67,562.39,electronics,0
ORD100066,524,8,0.095,1,0.019,0.172,0.14,0.14,0,0,5.03,712.18,electronics,0
ORD100067,611,9,0.418,0,0.891,0.593,0.421,0.008,0,0,2.01,2765.91,electronics,1
ORD100068,598,5,0.041,1,0.189,0.086,0.311,0.025,0,0,19.45,109.84,electronics,0
ORD100069,463,5,0.488,0,0.093,0.181,0.526,0.09,0,0,2.78,2358.16,footwear,0
ORD100070,140,11,0.166,0,0.5,0.378,0.02,0.085,0,0,0.52,1407.56,home,0
ORD100071,269,2,0.61,0,0.205,0.122,0.41,0.125,0,0,4.48,1146.98,home,0
ORD100072,199,13,0.33,0,0.686,0.346,0.202,0.266,0,0,30.57,382.6,home,0
ORD100073,136,6,0.461,0,0.453,0.064,0.372,0.042,0,0,13.98,3464.08,footwear,0
ORD100074,30,11,0.476,0,0.476,0.374,0.39,0.141,0,0,4.18,567.95,electronics,1
ORD100075,498,12,0.369,0,0.122,0.184,0.445,0.008,0,0,2.14,1102.48,apparel,0
ORD100076,701,9,0.574,1,0.736,0.384,0.32,0.371,1,0,6.61,1076.06,apparel,0
ORD100077,322,8,0.25,1,0.121,0.075,0.06,0.004,0,0,5.22,4961.57,apparel,0
ORD100078,386,5,0.117,0,0.166,0.273,0.361,0.017,0,0,18.24,2409.57,home,0
ORD100079,471,6,0.148,1,0.39,0.325,0.155,0.041,0,0,5.32,1051.42,apparel,0
ORD100080,297,11,0.521,0,0.06,0.207,0.144,0.079,0,0,3.01,3031.93,beauty,0
ORD100081,526,6,0.363,0,0.425,0.174,0.357,0.143,0,1,15.88,1931.29,home,0
ORD100082,1175,9,0.266,0,0.445,0.382,0.181,0.341,0,0,4.68,1170.9,apparel,0
ORD100083,921,5,0.221,0,0.396,0.332,0.095,0.051,0,0,0.21,863.79,home,0
ORD100084,681,8,0.484,1,0.324,0.159,0.479,0.095,0,0,8.68,1954.68,apparel,0
ORD100085,268,13,0.345,2,0.628,0.164,0.356,0.282,0,0,3.45,990.3,apparel,1
ORD100086,492,12,0.121,1,0.309,0.321,0.098,0.009,0,0,11.14,1661.91,apparel,0
ORD100087,722,7,0.153,0,0.251,0.096,0.471,0.108,0,0,3.65,685.14,home,0
ORD100088,306,7,0.215,1,0.351,0.529,0.218,0.103,0,0,0.32,804.27,home,1
ORD100089,230,10,0.337,0,0.193,0.431,0.541,0.092,0,0,4.68,681.23,electronics,0
ORD100090,341,2,0.621,0,0.453,0.083,0.6,0.081,0,0,4.72,1393.67,apparel,0
ORD100091,218,8,0.032,0,0.183,0.317,0.138,0.012,0,0,7.84,931.94,home,0
ORD100092,286,7,0.103,0,0.456,0.261,0.322,0.041,0,0,7.37,1603.83,apparel,1
ORD100093,231,12,0.43,0,0.104,0.107,0.17,0.04,0,0,2.2,210.73,home,0
ORD100094,1115,14,0.29,0,0.269,0.091,0.164,0.125,0,0,3.75,1158.29,electronics,1
ORD100095,70,4,0.147,0,0.394,0.056,0.083,0.058,0,0,22.98,3881.94,apparel,0
ORD100096,503,8,0.918,1,0.286,0.269,0.534,0.047,0,1,2.83,516.87,apparel,1
ORD100097,46,10,0.151,1,0.651,0.325,0.391,0.033,0,0,3.77,2502.13,footwear,0
ORD100098,512,9,0.435,0,0.265,0.142,0.167,0.031,0,0,4.63,4642.02,apparel,0
ORD100099,2192,5,0.126,0,0.598,0.294,0.074,0.026,1,0,4.03,2564.0,apparel,0
ORD100100,533,9,0.061,0,0.586,0.141,0.301,0.05,0,0,6.76,1087.28,apparel,0
ORD100101,19,4,0.392,0,0.291,0.191,0.452,0.013,0,1,2.05,2484.18,electronics,0
ORD100102,59,6,0.195,1,0.325,0.256,0.149,0.002,0,0,8.59,1095.37,beauty,1
ORD100103,350,11,0.122,0,0.331,0.317,0.165,0.015,0,0,5.68,4067.43,electronics,0
ORD100104,144,8,0.117,1,0.577,0.126,0.164,0.026,0,0,5.54,4607.96,electronics,0
ORD100105,237,1,0.31,1,0.386,0.094,0.272,0.127,0,0,4.44,4568.17,apparel,0
ORD100106,71,7,0.393,0,0.473,0.09,0.052,0.024,0,0,2.78,2487.26,apparel,0
ORD100107,1074,6,0.385,0,0.42,0.073,0.626,0.046,0,0,2.16,5410.69,home,0
ORD100108,79,13,0.372,1,0.303,0.033,0.265,0.185,0,0,7.35,326.28,apparel,0
ORD100109,887,6,0.388,0,0.617,0.162,0.123,0.012,0,0,5.47,5211.12,beauty,0
ORD100110,13,12,0.288,0,0.464,0.478,0.328,0.049,0,0,3.95,392.41,apparel,0
ORD100111,183,9,0.475,0,0.77,0.116,0.236,0.044,0,0,6.57,1257.88,apparel,0
ORD100112,58,12,0.54,2,0.804,0.609,0.223,0.046,0,0,8.17,481.46,electronics,0
ORD100113,533,9,0.04,0,0.578,0.136,0.302,0.235,0,1,6.9,1405.03,electronics,0
ORD100114,527,5,0.17,0,0.302,0.592,0.486,0.069,0,0,4.77,6613.57,footwear,0
ORD100115,247,5,0.616,0,0.337,0.245,0.217,0.153,0,0,5.06,1141.15,home,0
ORD100116,29,6,0.213,1,0.606,0.252,0.16,0.055,0,0,8.57,730.61,apparel,0
ORD100117,1625,5,0.364,1,0.129,0.288,0.125,0.024,0,0,4.74,774.12,electronics,0
ORD100118,198,10,0.295,0,0.359,0.155,0.67,0.009,0,0,2.5,874.07,home,0
ORD100119,148,6,0.426,0,0.076,0.351,0.576,0.031,1,0,2.87,1803.8,electronics,0
ORD100120,612,9,0.554,1,0.706,0.673,0.267,0.068,0,0,1.72,5616.64,apparel,1
ORD100121,130,8,0.235,0,0.453,0.466,0.418,0.31,0,0,0.99,1492.76,home,0
ORD100122,132,7,0.21,0,0.571,0.279,0.911,0.104,0,0,9.22,791.4,footwear,1
ORD100123,584,7,0.695,0,0.263,0.256,0.153,0.05,0,0,1.98,1055.02,home,0
ORD100124,122,4,0.165,0,0.445,0.205,0.054,0.002,0,0,0.93,3859.76,electronics,1
ORD100125,215,11,0.402,1,0.757,0.369,0.401,0.029,0,0,0.6,1031.76,apparel,1
ORD100126,116,3,0.063,0,0.136,0.379,0.445,0.014,0,0,7.48,424.9,apparel,0
ORD100127,468,9,0.118,0,0.216,0.306,0.08,0.01,0,0,14.62,1111.51,apparel,0
ORD100128,441,14,0.145,0,0.213,0.128,0.081,0.034,0,0,2.65,2781.63,home,0
ORD100129,920,9,0.369,1,0.228,0.211,0.3,0.085,0,0,0.44,2246.9,apparel,0
ORD100130,85,8,0.256,0,0.094,0.312,0.153,0.032,0,0,0.04,1070.11,home,0
ORD100131,128,10,0.142,0,0.606,0.431,0.125,0.048,0,1,3.17,621.4,home,0
ORD100132,1008,6,0.242,0,0.157,0.581,0.264,0.064,0,0,3.25,1544.48,apparel,0
ORD100133,26,16,0.478,1,0.4,0.193,0.173,0.045,0,0,9.0,1065.87,beauty,0
ORD100134,56,7,0.236,0,0.367,0.155,0.078,0.119,0,0,3.17,828.37,electronics,0
ORD100135,153,9,0.267,0,0.059,0.149,0.188,0.028,0,0,10.14,6955.02,apparel,0
ORD100136,612,10,0.469,0,0.193,0.316,0.042,0.141,0,0,9.14,2827.11,apparel,0
ORD100137,102,12,0.128,0,0.184,0.181,0.146,0.131,0,0,0.68,250.58,electronics,0
ORD100138,183,7,0.587,1,0.527,0.294,0.443,0.053,0,0,0.25,2086.29,footwear,1
ORD100139,31,9,0.28,0,0.565,0.186,0.425,0.03,0,0,9.16,3274.56,apparel,0
ORD100140,145,10,0.157,0,0.578,0.256,0.333,0.144,0,0,6.25,742.14,electronics,0
ORD100141,49,8,0.288,2,0.118,0.308,0.148,0.076,0,0,3.13,778.42,apparel,0
ORD100142,702,3,0.534,0,0.276,0.383,0.227,0.259,0,0,7.5,1047.15,home,1
ORD100143,65,9,0.686,0,0.215,0.327,0.611,0.055,0,0,5.66,1249.06,electronics,1
ORD100144,321,7,0.267,0,0.524,0.343,0.353,0.006,0,0,1.04,653.55,home,0
ORD100145,289,6,0.63,0,0.815,0.713,0.691,0.18,0,1,0.52,1515.57,home,1
ORD100146,407,8,0.275,0,0.26,0.333,0.147,0.149,0,0,3.3,874.87,electronics,0
ORD100147,2458,9,0.315,0,0.082,0.246,0.146,0.11,0,1,2.95,1265.66,apparel,0
ORD100148,626,9,0.227,0,0.379,0.036,0.472,0.003,1,0,8.08,3020.51,home,0
ORD100149,227,7,0.475,0,0.255,0.664,0.198,0.06,0,0,2.62,2049.97,footwear,0
ORD100150,194,11,0.108,1,0.396,0.219,0.267,0.011,0,0,0.25,713.05,apparel,0
ORD100151,39,4,0.241,1,0.338,0.303,0.385,0.014,0,0,10.91,1119.95,apparel,0
ORD100152,11,5,0.081,0,0.434,0.298,0.131,0.163,0,0,5.37,1388.78,electronics,0
ORD100153,26,10,0.299,0,0.343,0.509,0.108,0.014,0,0,4.16,395.83,apparel,0
ORD100154,33,7,0.246,1,0.301,0.182,0.198,0.147,0,0,6.54,3592.38,footwear,0
ORD100155,153,8,0.248,0,0.205,0.134,0.094,0.003,0,0,10.84,156.61,electronics,0
ORD100156,817,12,0.439,2,0.835,0.595,0.533,0.013,0,0,15.66,1164.33,electronics,1
ORD100157,160,8,0.824,2,0.308,0.38,0.385,0.316,1,0,0.54,660.66,apparel,1
ORD100158,36,5,0.255,0,0.452,0.215,0.408,0.168,1,0,4.16,1341.89,electronics,1
ORD100159,439,12,0.275,0,0.501,0.042,0.333,0.06,0,0,11.64,553.88,home,0
ORD100160,284,11,0.297,1,0.269,0.28,0.465,0.015,0,0,1.35,804.9,apparel,0
ORD100161,138,8,0.174,1,0.287,0.244,0.13,0.025,0,0,4.03,1108.35,home,0
ORD100162,54,14,0.355,0,0.377,0.403,0.125,0.064,0,0,12.0,3486.41,home,0
ORD100163,112,10,0.029,0,0.489,0.182,0.046,0.025,0,0,0.58,1060.24,apparel,0
ORD100164,293,11,0.012,1,0.317,0.388,0.106,0.013,0,0,6.01,1910.54,footwear,0
ORD100165,174,6,0.267,2,0.39,0.213,0.329,0.099,0,0,1.68,1277.77,apparel,0
ORD100166,646,2,0.237,1,0.492,0.331,0.508,0.046,0,0,1.91,831.04,footwear,0
ORD100167,306,8,0.311,1,0.254,0.48,0.145,0.01,0,1,3.42,760.81,footwear,0
ORD100168,508,17,0.258,1,0.426,0.161,0.172,0.146,0,0,5.21,818.06,apparel,0
ORD100169,275,9,0.256,0,0.473,0.043,0.209,0.038,0,0,4.28,365.74,home,0
ORD100170,1156,4,0.347,0,0.485,0.116,0.172,0.238,0,0,0.57,833.88,apparel,0
ORD100171,1056,8,0.245,0,0.118,0.014,0.088,0.012,0,0,2.87,6155.15,footwear,0
ORD100172,583,6,0.532,1,0.35,0.231,0.2,0.037,0,0,12.69,3193.76,apparel,0
ORD100173,202,9,0.177,0,0.418,0.578,0.301,0.112,0,0,1.8,294.16,home,0
ORD100174,1174,10,0.205,1,0.334,0.285,0.425,0.222,0,0,5.91,616.35,apparel,0
ORD100175,916,5,0.249,0,0.11,0.034,0.06,0.012,0,1,2.37,1573.6,apparel,0
ORD100176,509,6,0.546,0,0.697,0.361,0.74,0.039,0,0,0.81,1309.1,home,0
ORD100177,733,8,0.379,0,0.503,0.183,0.156,0.103,0,0,1.28,470.6,apparel,0
ORD100178,665,10,0.247,1,0.213,0.041,0.316,0.074,0,0,3.77,711.81,apparel,0
ORD100179,126,9,0.3,0,0.139,0.102,0.35,0.006,0,0,2.99,931.39,electronics,0
ORD100180,400,8,0.811,0,0.52,0.282,0.159,0.067,0,0,0.46,2720.14,footwear,0
ORD100181,752,14,0.304,1,0.395,0.415,0.15,0.02,0,0,18.19,612.25,home,0
ORD100182,428,6,0.304,0,0.25,0.107,0.493,0.026,0,0,0.2,3832.02,apparel,0
ORD100183,85,7,0.338,0,0.18,0.541,0.282,0.046,0,0,1.73,3065.1,electronics,1
ORD100184,400,11,0.364,1,0.702,0.791,0.552,0.358,0,1,5.75,1386.5,apparel,1
ORD100185,259,12,0.103,1,0.2,0.088,0.069,0.037,0,0,8.48,94.0,home,0
ORD100186,199,8,0.663,0,0.435,0.776,0.338,0.039,0,0,10.41,1073.58,electronics,0
ORD100187,187,9,0.18,0,0.722,0.176,0.463,0.083,0,0,2.85,3368.78,apparel,0
ORD100188,50,12,0.14,1,0.109,0.427,0.179,0.14,0,0,8.21,2077.12,apparel,0
ORD100189,403,7,0.296,0,0.157,0.305,0.323,0.007,0,0,2.63,782.17,home,1
ORD100190,464,10,0.446,0,0.135,0.195,0.287,0.202,0,0,0.91,2652.69,apparel,0
ORD100191,402,14,0.028,1,0.034,0.077,0.117,0.001,0,0,4.58,1156.76,home,0
ORD100192,104,11,0.557,0,0.047,0.458,0.309,0.047,0,0,2.59,1920.79,footwear,0
ORD100193,46,12,0.221,0,0.626,0.1,0.04,0.112,0,0,4.19,4051.23,apparel,0
ORD100194,866,8,0.382,1,0.17,0.327,0.352,0.013,0,0,4.96,1241.41,electronics,0
ORD100195,553,7,0.244,0,0.322,0.46,0.546,0.009,0,0,11.07,2972.99,home,0
ORD100196,101,9,0.724,0,0.095,0.534,0.588,0.044,0,0,1.48,1473.25,electronics,1
ORD100197,78,7,0.262,0,0.099,0.257,0.215,0.136,0,0,22.19,1660.11,apparel,0
ORD100198,467,8,0.288,1,0.349,0.7,0.08,0.178,0,0,3.06,1037.86,electronics,0
ORD100199,154,7,0.086,0,0.114,0.118,0.093,0.018,0,0,5.11,878.11,apparel,0
ORD100200,801,5,0.295,0,0.144,0.139,0.239,0.011,0,0,20.76,1060.2,electronics,0
ORD100201,1314,8,0.387,0,0.162,0.077,0.162,0.02,0,0,14.26,3921.01,home,0
ORD100202,1016,9,0.628,0,0.571,0.376,0.188,0.175,0,0,0.8,2698.49,electronics,1
ORD100203,474,10,0.377,0,0.166,0.227,0.276,0.062,0,0,3.24,881.45,beauty,0
ORD100204,219,11,0.237,0,0.336,0.524,0.389,0.065,0,0,11.37,947.66,apparel,0
ORD100205,618,7,0.444,0,0.606,0.59,0.067,0.013,1,0,2.03,1179.78,apparel,0
ORD100206,505,8,0.407,0,0.13,0.227,0.157,0.028,0,0,12.57,227.71,apparel,0
ORD100207,78,9,0.253,1,0.422,0.036,0.204,0.044,0,0,16.66,2056.76,footwear,0
ORD100208,113,7,0.438,0,0.261,0.321,0.452,0.043,0,0,2.07,1577.49,apparel,0
ORD100209,135,2,0.366,0,0.726,0.43,0.258,0.002,0,0,1.22,9604.89,home,0
ORD100210,99,8,0.096,1,0.294,0.141,0.175,0.178,0,0,6.64,1114.74,home,0
ORD100211,2,12,0.444,1,0.405,0.607,0.069,0.085,1,0,0.63,2224.52,footwear,0
ORD100212,1036,12,0.451,0,0.209,0.3,0.216,0.0,0,0,9.38,1324.54,footwear,0
ORD100213,469,9,0.298,0,0.677,0.137,0.121,0.006,0,0,6.77,1368.57,home,0
ORD100214,36,10,0.224,0,0.225,0.065,0.193,0.07,0,0,25.2,1184.57,footwear,1
ORD100215,84,9,0.134,1,0.194,0.389,0.047,0.014,0,0,11.25,745.09,footwear,0
ORD100216,99,4,0.26,1,0.601,0.323,0.096,0.06,0,0,0.13,285.73,electronics,1
ORD100217,194,10,0.233,0,0.375,0.174,0.289,0.162,0,1,0.2,785.09,beauty,0
ORD100218,362,9,0.389,0,0.252,0.264,0.147,0.008,0,0,10.63,738.4,apparel,0
ORD100219,38,8,0.525,0,0.3,0.434,0.533,0.021,1,0,0.17,1653.94,footwear,1
ORD100220,660,11,0.658,0,0.443,0.121,0.273,0.068,0,0,4.39,1274.75,footwear,0
ORD100221,188,9,0.186,0,0.293,0.488,0.066,0.142,1,0,2.31,1135.43,apparel,0
ORD100222,289,9,0.084,0,0.185,0.177,0.651,0.052,0,0,12.66,1942.25,beauty,0
ORD100223,534,5,0.16,0,0.502,0.135,0.363,0.006,0,0,25.15,915.5,electronics,0
ORD100224,238,5,0.401,0,0.437,0.14,0.063,0.17,0,0,5.62,967.35,beauty,0
ORD100225,183,8,0.309,0,0.086,0.267,0.163,0.032,0,0,8.36,1611.61,apparel,0
ORD100226,2077,13,0.065,0,0.348,0.334,0.187,0.059,0,0,7.68,2087.19,home,0
ORD100227,488,6,0.263,1,0.433,0.476,0.104,0.232,0,1,1.52,1947.5,beauty,1
ORD100228,162,6,0.605,2,0.134,0.385,0.276,0.058,0,0,1.6,1239.05,apparel,0
ORD100229,1075,5,0.504,2,0.543,0.108,0.277,0.121,1,0,6.41,527.32,home,1
ORD100230,45,8,0.096,1,0.154,0.362,0.132,0.158,0,0,0.25,466.34,electronics,0
ORD100231,138,1,0.152,0,0.089,0.231,0.176,0.001,0,0,1.08,1798.86,apparel,0
ORD100232,5,11,0.386,0,0.027,0.066,0.273,0.006,1,0,1.88,946.63,apparel,0
ORD100233,448,12,0.057,0,0.211,0.061,0.126,0.024,0,0,0.04,2594.76,home,0
ORD100234,76,8,0.293,0,0.097,0.27,0.297,0.078,0,0,10.74,2388.81,electronics,0
ORD100235,90,11,0.292,0,0.851,0.193,0.275,0.047,0,0,3.86,948.0,apparel,0
ORD100236,60,4,0.484,0,0.11,0.187,0.075,0.006,0,0,7.93,2354.05,beauty,0
ORD100237,553,10,0.193,0,0.122,0.239,0.171,0.026,0,0,1.04,615.54,electronics,0
ORD100238,1405,14,0.406,1,0.17,0.272,0.163,0.028,0,0,0.82,468.02,electronics,0
ORD100239,188,8,0.455,1,0.218,0.274,0.19,0.086,0,0,0.64,3737.45,apparel,0
ORD100240,120,6,0.576,2,0.591,0.18,0.596,0.085,0,0,0.43,2295.5,beauty,1
ORD100241,289,7,0.491,1,0.593,0.375,0.609,0.154,0,0,5.77,2579.58,apparel,1
ORD100242,155,10,0.101,0,0.242,0.058,0.307,0.008,0,1,0.15,430.03,home,0
ORD100243,55,13,0.148,0,0.074,0.376,0.365,0.129,0,0,3.87,2876.06,electronics,0
ORD100244,1627,9,0.344,0,0.648,0.22,0.223,0.135,0,0,3.07,805.31,home,0
ORD100245,84,6,0.347,0,0.069,0.53,0.164,0.001,0,0,8.46,957.43,electronics,0
ORD100246,169,8,0.318,0,0.657,0.224,0.259,0.025,0,0,3.38,1049.07,beauty,0
ORD100247,1126,12,0.423,0,0.236,0.306,0.348,0.066,0,0,0.79,3029.8,footwear,0
ORD100248,700,12,0.134,0,0.819,0.222,0.09,0.079,0,0,6.47,4723.38,home,0
ORD100249,260,5,0.263,0,0.14,0.265,0.287,0.002,0,0,32.5,2789.54,apparel,0
ORD100250,116,12,0.427,2,0.438,0.418,0.49,0.607,0,1,0.24,907.24,apparel,0
ORD100251,46,5,0.477,0,0.137,0.352,0.207,0.163,0,0,5.45,1533.0,apparel,0
ORD100252,453,8,0.19,0,0.168,0.414,0.271,0.091,0,0,1.56,4627.94,electronics,0
ORD100253,432,6,0.258,0,0.378,0.067,0.113,0.007,0,0,1.68,584.15,apparel,0
ORD100254,489,5,0.201,0,0.345,0.372,0.057,0.021,0,0,2.49,1377.96,beauty,0
ORD100255,281,3,0.328,0,0.137,0.285,0.287,0.059,0,0,0.57,4356.16,beauty,0
ORD100256,164,6,0.33,1,0.346,0.388,0.142,0.098,0,0,1.69,4930.6,apparel,0
ORD100257,359,12,0.661,0,0.437,0.198,0.101,0.172,0,0,4.61,1679.2,electronics,0
ORD100258,2,15,0.632,0,0.346,0.136,0.153,0.215,0,1,2.8,1523.98,apparel,0
ORD100259,1,6,0.351,0,0.182,0.475,0.219,0.056,0,0,0.38,1029.31,home,0
ORD100260,79,11,0.203,0,0.042,0.265,0.225,0.074,0,0,10.42,1367.08,electronics,0
ORD100261,478,6,0.224,0,0.227,0.305,0.101,0.008,0,0,3.18,881.82,apparel,0
ORD100262,93,13,0.26,0,0.171,0.25,0.282,0.051,0,0,5.04,2840.55,footwear,0
ORD100263,107,8,0.405,0,0.314,0.285,0.113,0.057,0,0,13.18,1490.27,apparel,0
ORD100264,794,6,0.33,0,0.457,0.089,0.182,0.034,0,1,10.18,1049.9,apparel,0
ORD100265,675,8,0.34,0,0.233,0.54,0.318,0.071,0,0,3.12,861.39,electronics,0
ORD100266,121,5,0.184,1,0.295,0.16,0.268,0.037,0,0,4.69,460.35,apparel,0
ORD100267,52,6,0.276,0,0.378,0.071,0.274,0.004,0,0,2.57,6269.99,electronics,0
ORD100268,814,6,0.625,1,0.154,0.02,0.179,0.149,0,1,8.74,800.9,apparel,0
ORD100269,271,10,0.425,1,0.093,0.272,0.221,0.034,0,0,5.08,863.02,apparel,0
ORD100270,845,6,0.223,1,0.31,0.249,0.084,0.117,0,0,4.9,1369.98,home,0
ORD100271,1043,7,0.666,0,0.387,0.396,0.192,0.081,0,0,0.03,1597.96,apparel,0
ORD100272,197,10,0.244,0,0.465,0.312,0.415,0.153,0,0,1.04,3244.77,apparel,0
ORD100273,672,11,0.113,0,0.198,0.3,0.194,0.066,0,0,0.1,1231.69,footwear,0
